T/M,pressure_fluctuation/T^3,pressure_mean_field/T^3
0.05,0.0536713353355635,2.21019560367252E-09
0.0830508474576271,0.0894879391729847,1.17109436264162E-05
0.116101694915254,0.117174399670134,0.000411266253719995
0.149152542372881,0.134468526768173,0.00283075734832801
0.182203389830508,0.150613753263471,0.00938136320960423
0.215254237288136,0.167984261147908,0.0211000567092882
0.248305084745763,0.188325141099721,0.0377503541687621
0.28135593220339,0.210600131487312,0.0583867339089148
0.314406779661017,0.235125586131346,0.0818726736816317
0.347457627118644,0.261872292191897,0.107159827188926
0.380508474576271,0.290070062842588,0.133390572916315
0.413559322033898,0.319384746393572,0.159909209258732
0.446610169491525,0.349150058080759,0.186236164801279
0.479661016949153,0.379156729979429,0.212032411431409
0.51271186440678,0.407404951928794,0.237065555666026
0.545762711864407,0.431607802341295,0.261181410423962
0.578813559322034,0.453999322731496,0.284281530269737
0.611864406779661,0.47420847133754,0.306305968698135
0.644915254237288,0.492121687511228,0.327220221589615
0.677966101694915,0.507464855828335,0.347005414875595
0.711016949152542,0.519809486611614,0.365651051919262
0.74406779661017,0.527797243720608,0.383149983294365
0.777118644067797,0.53376283640242,0.399495664026084
0.810169491525424,0.534452864172878,0.414682107540221
0.843220338983051,0.530625202700649,0.428706913837925
0.876271186440678,0.522217858698624,0.441576909051357
0.909322033898305,0.509622414389143,0.453314375374219
0.942372881355932,0.494111568697713,0.463960853036493
0.975423728813559,0.476325011031059,0.473576517403964
1.00847457627119,0.45692765529196,0.482235615028326
1.04152542372881,0.437281537522374,0.490020175925626
1.07457627118644,0.417768483535291,0.497014147805002
1.10762711864407,0.399432562110882,0.503299042301593
1.14067796610169,0.381440157550235,0.508951235598577
1.17372881355932,0.364706111519503,0.514040602696721
1.20677966101695,0.349023820460454,0.51863006634983
1.23983050847458,0.332766983589343,0.522775706190049
1.2728813559322,0.318170196689279,0.526527175763633
1.30593220338983,0.304305221177344,0.529928264491627
1.33898305084746,0.291139162805321,0.533017506197943
1.37203389830508,0.278760839544567,0.535828778502734
1.40508474576271,0.267111238746573,0.538391864008175
1.43813559322034,0.256028238867974,0.54073296016876
1.47118644067797,0.245341453424337,0.542875133936886
1.50423728813559,0.235364013221356,0.544838722333445
1.53728813559322,0.225949323748446,0.546641682659801
1.57033898305085,0.217062550348269,0.548299897187313
1.60338983050847,0.208623395935932,0.549827437461469
1.6364406779661,0.200359040388283,0.551236793201885
1.66949152542373,0.192305840298139,0.552539070413852
1.70254237288136,0.185426207589051,0.553744162858048
1.73559322033898,0.178532431097893,0.554860900541937
1.76864406779661,0.171949542859893,0.555897178428432
1.80169491525424,0.16732824528767,0.55686006812818
1.83474576271186,0.161756942009307,0.557755914956842
1.86779661016949,0.15603069625253,0.558590422402486
1.90084745762712,0.150547248974203,0.559368725753391
1.93389830508475,0.144412213404012,0.560095456383529
1.96694915254237,0.139133375368104,0.560774797978367
2,0.135548856052652,0.561410535795987
