T/M,mu/M,zero_a2,zero_a4
0.01,1.05924053192139,0.999999761581421,1.12017568306874
0.02,1.05833530426025,0.999999761581421,1.1134313508901
0.03,1.05694341659546,0.999999761581421,1.10678694420312
0.04,1.05517702102661,0.999999761581421,1.10024405860349
0.05,1.05311555862427,0.999999761581421,1.09380487933722
0.06,1.05081577301025,0.999999761581421,1.08747271792599
0.07,1.04831771850586,0.999999761581421,1.08124915163062
0.08,1.04565343856812,0.999999761581421,1.07513767826003
0.09,1.04284896850586,0.999996900558472,1.06914164009795
0.1,1.03992567062378,0.999991178512573,1.06326424954241
0.11,1.03690423965454,0.999975442886353,1.0575086303741
0.12,1.03380136489868,0.999942541122437,1.05187975778626
0.13,1.03063306808472,0.999881029129028,1.04638134708275
0.14,1.02741470336914,0.999778032302856,1.04101930595789
0.15,1.02415962219238,0.9996178150177,1.03579860116006
0.16,1.02088184356689,0.999380350112915,1.03072487194622
0.17,1.01759405136108,0.999048471450806,1.02580424934331
0.18,1.01430692672729,0.998600721359253,1.02104453224547
0.19,1.01103315353394,0.998017072677612,1.01645173526376
0.2,1.00778274536133,0.997277498245239,1.0120318895235
0.21,1.00456438064575,0.996361970901489,1.00779239287513
0.22,1.00138673782349,0.995253324508667,1.00373863334153
0.23,0.998257827758789,0.993931531906128,0.999876110102195
0.24,0.995184993743896,0.992379426956177,0.996208512023258
0.25,0.992172908782959,0.990579843521118,0.992740510321528
0.26,0.989226245880127,0.988518476486206,0.989472724456391
0.27,0.986350345611572,0.986178159713745,0.986409128149535
0.28,0.983546543121338,0.983546543121338,0.983546543121338
0.29,0.980608558654785,0.980608558654785,0.980608558654785
0.3,0.97735013961792,0.97735013961792,0.97735013961792
0.31,0.973759269714355,0.973759269714355,0.973759269714355
0.32,0.969822597503662,0.969822597503662,0.969822597503662
0.33,0.965527439117432,0.965527439117432,0.965527439117432
0.34,0.960861778259277,0.960861778259277,0.960861778259277
0.35,0.955812263488769,0.955812263488769,0.955812263488769
0.36,0.9503662109375,0.9503662109375,0.9503662109375
0.37,0.94451093673706,0.94451093673706,0.94451093673706
0.38,0.938233089447021,0.938233089447021,0.938233089447021
0.39,0.931518650054932,0.931518650054932,0.931518650054932
0.4,0.92435359954834,0.92435359954834,0.92435359954834
0.41,0.916721916198731,0.916721916198731,0.916721916198731
0.42,0.908608245849609,0.908608245849609,0.908608245849609
0.43,0.899995899200439,0.899995899200439,0.899995899200439
0.44,0.890866184234619,0.890866184234619,0.890866184234619
0.45,0.881199741363525,0.881199741363525,0.881199741363525
0.46,0.870975208282471,0.870975208282471,0.870975208282471
0.47,0.860169887542725,0.860169887542725,0.860169887542725
0.48,0.848758411407471,0.848758411407471,0.848758411407471
0.49,0.836713409423828,0.836713409423828,0.836713409423828
0.5,0.82400484085083,0.82400484085083,0.82400484085083
0.51,0.810598659515381,0.810598659515381,0.810598659515381
0.52,0.796458148956299,0.796458148956299,0.796458148956299
0.53,0.781539916992187,0.781539916992187,0.781539916992187
0.54,0.765797233581543,0.765797233581543,0.765797233581543
0.55,0.749176692962646,0.749176692962646,0.749176692962646
0.56,0.731615543365479,0.731615543365479,0.731615543365479
0.57,0.71304235458374,0.71304235458374,0.71304235458374
0.58,0.693375015258789,0.693375015258789,0.693375015258789
0.59,0.672515392303467,0.672515392303467,0.672515392303467
0.6,0.650347328186035,0.650347328186035,0.650347328186035
0.61,0.626729965209961,0.626729965209961,0.626729965209961
0.615,0.614325141906738,0.614325141906738,0.614325141906738
0.62,0.60149040222168,0.60149040222168,0.60149040222168
0.625,0.588197708129883,0.588197708129883,0.588197708129883
0.63,0.574415016174316,0.574415016174316,0.574415016174316
0.635,0.560105609893799,0.560105609893799,0.560105609893799
0.64,0.545227432250977,0.545227432250977,0.545227432250977
0.645,0.529733085632324,0.529733085632324,0.529733085632324
0.65,0.513566493988037,0.513566493988037,0.513566493988037
0.655,0.496661567687988,0.496661567687988,0.496661567687988
0.66,0.478940868377685,0.478940868377685,0.478940868377685
0.665,0.460308265686035,0.460308265686035,0.460308265686035
0.67,0.440649604797363,0.440649604797363,0.440649604797363
0.675,0.419819355010986,0.419819355010986,0.419819355010986
0.68,0.397633934020996,0.397633934020996,0.397633934020996
0.685,0.373851680755615,0.373851680755615,0.373851680755615
0.69,0.348146152496338,0.348146152496338,0.348146152496338
0.695,0.320052051544189,0.320052051544189,0.320052051544189
0.7,0.288875102996826,0.288875102996826,0.288875102996826
0.705,0.25347843170166,0.25347843170166,0.25347843170166
0.706,0.245736598968506,0.245736598968506,0.245736598968506
0.707,0.23772439956665,0.23772439956665,0.23772439956665
0.708,0.229414463043213,0.229414463043213,0.229414463043213
0.709,0.220772075653076,0.220772075653076,0.220772075653076
0.71,0.211757850646973,0.211757850646973,0.211757850646973
0.711,0.20232105255127,0.20232105255127,0.20232105255127
0.712,0.19240026473999,0.19240026473999,0.19240026473999
0.713,0.181915378570557,0.181915378570557,0.181915378570557
0.714,0.170762920379639,0.170762920379639,0.170762920379639
0.715,0.158802700042725,0.158802700042725,0.158802700042725
0.716,0.145836448669434,0.145836448669434,0.145836448669434
0.717,0.131565761566162,0.131565761566162,0.131565761566162
0.718,0.11550931930542,0.11550931930542,0.11550931930542
0.719,0.0967812538146973,0.0967812538146973,0.0967812538146973
0.72,0.0733648300170898,0.0733648300170898,0.0733648300170898
0.721,0.0372772216796875,0.0372772216796875,0.0372772216796875
0.722,0,0,0
