T/M,width_phi,width_sigma
0.01,0,0.000414756732324017
0.02,0,0.000414756732324017
0.03,0,0.000414756732324017
0.04,0,0.000414756732331828
0.05,0,0.000414756735067912
0.06,0,0.000414756873778467
0.07,0,0.000414759153550718
0.08,0,0.000414777474732337
0.09,0,0.000414763577033977
0.1,0,0.000414809977821561
0.11,0,0.000415222499666157
0.12,0,0.00041579570090338
0.13,0,0.000417062349055567
0.14,0,0.000419183724531043
0.15,0,0.00042315041826972
0.16,0,0.000429269655923047
0.17,0,0.00043817631209317
0.18,0,0.000450622751401069
0.19,0,0.000466678627587532
0.2,0,0.000489648058329876
0.21,0,0.000517788096415779
0.22,0,0.000552696552343911
0.23,0,0.000595522320178891
0.24,0,0.000646994893421339
0.25,0,0.000708000725732499
0.26,0,0.000779325688557139
0.27,0,0.000881872354741982
0.28,0,0.00100379315941375
0.29,0,0.00114563521919112
0.3,0,0.00130973972302525
0.31,0,0.00149994814018912
0.32,0,0.0017164628549783
0.33,0,0.00196378301246646
0.34,0,0.00224391312560821
0.35,0,0.00256070837200043
0.36,0,0.00291655353113312
0.37,0,0.00331421148268042
0.38,0,0.00376091112176834
0.39,0,0.00425691701690946
0.4,0,0.00480790610085048
0.41,0,0.00541707026973782
0.42,0,0.00609248622860215
0.43,0,0.00683352183707642
0.44,0,0.0076516794966388
0.45,0,0.00854960091409206
0.46,0,0.00953217757382156
0.47,0,0.0106097518667122
0.48,0,0.0117862078992534
0.49,0,0.0130746198730421
0.5,0,0.0144779832513949
0.51,0,0.0160084701213475
0.52,0,0.0176722231630566
0.53,0,0.0194823060753825
0.54,0,0.0214552559757381
0.55,0,0.0235964593082356
0.56,0,0.0259188900046315
0.57,0,0.0284433435891942
0.58,0,0.031210821415219
0.59,0,0.0341562686286543
0.6,0,0.0373794090969756
0.61,0,0.0408808431120387
0.62,0,0.0446812807333595
0.63,0,0.0488012737699711
0.64,0,0.0532674516691096
0.65,0,0.058112578966012
0.66,0,0.0633716566610723
0.67,0,0.0690613971392532
0.68,0,0.0752594931644322
0.69,0,0.0819757580899874
0.7,0,0.0892674821574893
0.71,0,0.0971527285955584
0.72,0,0.105722645872696
0.73,0,0.115015331323438
0.74,0,0.125058082082611
0.75,0,0.135988171650718
0.76,0,0.147171918461286
0.77,0,0.160479103106181
0.78,0,0.174224352094677
0.79,0,0.18900372911236
0.8,0,0.204950037207045
0.81,0,0.221987932066332
0.82,0,0.240262412172891
0.83,0,0.25976752419981
0.84,0,0.280489873257541
0.85,0,0.302394041061742
0.86,0,0.32548676248948
0.87,0,0.349767785461493
0.88,0,0.37509817826416
0.89,0,0.401586613578414
0.9,0,0.42910667340628
0.91,0,0.457147316639256
0.92,0,0.48619383396567
0.93,0,0.515903252823315
0.94,0,0.546072330162144
0.95,0,0.576707997881036
0.96,0.509765274226242,0.60776909158843
0.97,0.583381565336405,0.639113345887854
0.98,0.636688062177052,0.670575585319113
0.99,0.682447084902866,0.702211249805609
1,0.72405018164524,0.733936609697959
1.01,0.76262301443264,0.765666162731554
1.02,0.799517477004934,0.797251636336707
1.03,0.834984610756113,0.828854173266847
1.04,0.869235760864,0.860421413084889
1.05,0.90260981500826,0.891924255314447
1.06,0.935642643586125,0.923296794104083
1.07,0.96782618150206,0.954515057801518
1.08,0.99922630623652,0.985612058009027
1.09,1.03080250313855,1.01652964527156
1.1,1.06190811099949,1.04742542849587
1.11,1.09262751157867,1.07801370456895
1.12,1.12308417645762,1.10871378469629
1.13,1.15351518577385,1.13933966258385
1.14,1.18363138703416,1.16960194814343
1.15,1.21356591153304,1.19987762807588
1.16,1.24341723110883,1.23011892033837
1.17,1.27330656652669,1.26028138365043
1.18,1.30298603784461,1.29036652539228
1.19,1.33257136187601,1.3202637239861
1.2,1.36193968819824,1.34997114181199
1.21,1.39159730465266,1.38006039984624
1.22,1.42088465653264,1.40984214481159
1.23,1.45028166102492,1.43920426592363
1.24,1.47970180826631,1.4694179393497
1.25,1.50903239704901,1.49898502518517
1.26,1.53829429343858,1.5288676981009
1.27,1.56762411816729,1.55834515184896
1.28,1.59667793298627,1.58782810935436
1.29,1.62605805195169,1.61724114430338
1.3,1.65538642929783,1.64687610720404
